Digital_Input	Screen_Position_Y_axis(px)	time(ms)
372	372	8898
372	372	8906
372	372	8914
372	372	8922
372	372	8930
372	372	8939
372	372	8947
372	372	8955
372	372	8963
372	372	8971
372	372	8979
372	372	8987
372	372	8995
372	372	9004
372	372	9012
372	372	9021
372	372	9029
372	372	9038
372	372	9046
372	372	9054
372	372	9062
372	372	9070
372	372	9079
372	372	9088
372	372	9097
372	372	9106
372	372	9115
372	372	9123
372	372	9131
372	372	9140
372	372	9148
372	372	9156
372	372	9165
372	372	9173
372	372	9182
372	372	9190
372	372	9198
372	372	9206
372	372	9215
372	372	9224
372	372	9232
372	372	9241
372	372	9251
372	372	9260
372	372	9268
372	372	9276
372	372	9284
372	372	9292
372	372	9300
372	372	9308
372	372	9316
372	372	9325
372	372	9334
372	372	9342
372	372	9351
372	372	9360
372	372	9368
372	372	9376
372	372	9384
372	372	9392
372	372	9401
372	372	9409
372	372	9417
372	372	9425
372	372	9433
372	372	9442
372	372	9450
372	372	9459
372	372	9467
372	372	9475
372	372	9483
372	372	9491
372	372	9499
372	372	9507
372	372	9516
372	372	9524
372	372	9532
372	372	9540
372	372	9549
372	372	9557
372	372	9565
372	372	9573
372	372	9582
372	372	9590
372	372	9599
372	372	9607
372	372	9615
372	372	9624
372	372	9632
372	372	9641
372	372	9649
372	372	9657
372	372	9665
372	372	9673
372	372	9682
372	372	9691
372	372	9699
372	372	9707
372	372	9715
372	372	9723
372	372	9731
372	372	9739
372	372	9748
372	372	9756
372	372	9764
372	372	9772
372	372	9781
372	372	9790
372	372	9798
372	372	9806
372	372	9814
372	372	9822
372	372	9830
372	372	9838
372	372	9846
372	372	9854
372	372	9862
372	372	9871
372	372	9879
372	372	9887
372	372	9895
372	372	9904
372	372	9913
372	372	9922
372	372	9930
372	372	9939
372	372	9947
372	372	9955
372	372	9963
372	372	9972
372	372	9980
372	372	9988
372	372	9996
372	372	10005
372	372	10014
372	372	10022
372	372	10031
372	372	10039
372	372	10047
372	372	10055
372	372	10064
372	372	10072
372	372	10080
