Digital_Input	Screen Position Y axis (px)	time (ms)
-4.013889150839635	744.4507888600459	12071
-4.47247636044084	829.5043608744427	12087
-4.798582820601695	889.9869009735687	12104
-4.982017704442178	924.0083297793276	12120
-5.124689280762553	950.4694410726955	12137
-5.267360857082927	976.9305523660632	12153
-5.37945995276322	997.7214255251376	12167
-5.501749875323544	1020.4023780623103	12179
-5.613848971003836	1041.1932512213848	12192
-5.715757239804105	1060.094045002362	12205
-5.8380471623644254	1082.7749975395343	12220
-5.950146258044722	1103.5658706986096	12237
-6.021482046204909	1116.7964263452932	12249
-6.072436180605042	1126.2468232357817	12263
-6.0622453537250145	1124.3567438576838	12276
-6.011291219324882	1114.9063469671955	12290
-5.91957377740464	1097.895632564316	12306
-5.827856335484398	1080.8849181614364	12323
-5.746329720444184	1065.764283136655	12339
-5.695375586044051	1056.3138862461665	12356
-5.654612278523945	1048.753568733776	12371
-5.613848971003836	1041.1932512213848	12388
-5.532322355963622	1026.0726161966031	12405
-5.44060491404338	1009.0619017937238	12423
-5.338696645243115	990.1611080127471	12439
-5.226597549562818	969.3702348536722	12456
-5.104307627002498	946.6892823164998	12473
-4.9922085313222055	925.8984091574255	12489
-4.859727781881855	901.3273772421547	12506
-4.7680103399616165	884.316662839276	12525
-4.71705620556148	874.8662659487869	12543
-4.676292898041375	867.3059484363964	12561
-4.65591124428132	863.5257896802009	12577
-4.635529590521266	859.7456309240054	12591
-4.615147936761215	855.9654721678104	12606
-4.564193802361078	846.5150752773214	12621
-4.503048841080918	835.1745990087352	12638
-4.47247636044084	829.5043608744427	12655
-4.431713052920731	821.9440433620515	12676
-4.390949745400626	814.383725849661	12693
-4.360377264760544	808.7134877153675	12709
-4.329804784120466	803.0432495810747	12722
-4.319613957240438	801.1531702029771	12739
-4.350186437880517	806.8234083372696	12756
-4.421522226040704	820.0539639839537	12772
-4.503048841080918	835.1745990087352	12789
-4.564193802361078	846.5150752773214	12806
-4.635529590521266	859.7456309240054	12822
-4.686483724921402	869.1960278144943	12839
-4.747628686201562	880.5365040830803	12856
-4.7680103399616165	884.316662839276	12872
-4.7680103399616165	884.316662839276	12889
-4.808773647481722	891.8769803516665	12906
-4.880109435641909	905.1075359983504	12923
-4.931063570042042	914.5579328888385	12940
-4.920872743162018	912.6678535107416	12957
-4.869918608761882	903.2174566202525	12974
-4.8291553012417765	895.657139107862	12991
-4.77820116684164	886.2067422173731	13006
-4.7272470324415075	876.7563453268848	13023
-4.686483724921402	869.1960278144943	13035
-4.645720417401293	861.6357103021031	13048
-4.6049571098811874	854.0753927897126	13061
-4.574384629241106	848.4051546554192	13073
-4.554002975481055	844.6249958992244	13085
-4.5438121486010274	842.7349165211265	13099
-4.554002975481055	844.6249958992244	13112
-4.564193802361078	846.5150752773214	13126
-4.584575456121133	850.2952340335171	13139
-4.584575456121133	850.2952340335171	13152
-4.584575456121133	850.2952340335171	13165
-4.554002975481055	844.6249958992244	13176
-4.533621321721	840.8448371430287	13190
-4.533621321721	840.8448371430287	13207
-4.5438121486010274	842.7349165211265	13223
-4.59476628300116	852.1853134116147	13240
-4.645720417401293	861.6357103021031	13257
